year,sst
1904,0.174778409
1905,0.716689114
1906,0.142297668
1907,0.009032444
1908,-0.484781335
1909,-0.6305038
1910,-0.538314464
1911,0.368081102
1912,0.062589244
1913,0.119724267
1914,0.767653557
1915,0.042928083
1916,-0.620058443
1917,-0.81437385
1918,0.489420354
1919,0.522500796
1920,-0.19596319
1921,-0.267266379
1922,-0.158185897
1923,0.268658263
1924,-0.413223599
1925,-0.014866385
1926,-0.208506715
1927,-0.294055053
1928,-0.294556987
1929,0.175769238
1930,0.625940838
1931,-0.138982416
1932,-0.209660918
1933,-0.621514478
1934,-0.223699046
1935,-0.057029801
1936,0.083897137
1937,0.034909837
1938,0.046631512
1939,0.348449744
1940,0.931854853
1941,0.976164114
1942,-0.027118195
1943,-0.245674742
1944,-0.380956384
1945,-0.405297393
1946,0.271083361
1947,-0.175924693
1948,0.168089264
1949,-0.414313242
1950,-0.406260862
1951,0.442736436
1952,0.091552969
1953,0.322813295
1954,-0.149321703
1955,-0.611525518
1956,-0.437267831
1957,0.410443337
1958,0.557767623
1959,0.197253593
1960,-0.06591501
1961,0.104145296
1962,-0.071105874
1963,0.295215406
1964,-0.303525574
1965,0.8394937
1966,0.285425709
1967,0.096094056
1968,0.39869017
1969,0.581175951
1970,-0.185901561
1971,-0.154410351
1972,0.985645181
1973,-0.260570679
1974,-0.074089094
1975,-0.567692141
1976,0.63467142
1977,0.453011252
1978,0.182849201
1979,0.549773034
1980,0.796241248
1981,0.503765185
1982,0.970984941
1983,0.408872098
1984,0.35420917
1985,0.554035177
1986,1.104659632
1987,1.148270747
1988,0.077444853
1989,0.408904325
1990,1.285543103
1991,1.420967761
1992,1.15262258
1993,1.395943912
1994,1.438491229
1995,0.603334921
1996,0.846692
1997,1.512229925
